frame	event	value	status_or_groups
0	d3d	SetDescriptorHeaps	0
0	d3d	SetDescriptorHeaps	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	group	1	0
0	group	1	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	frame_launches	156	156
1	d3d	SetDescriptorHeaps	0
1	d3d	SetDescriptorHeaps	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	group	1	0
1	group	1	0
