frame	event	value	status_or_groups
0	d3d	SetDescriptorHeaps	0
0	d3d	SetDescriptorHeaps	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	6	0
0	d3d	ResourceBarrier	0
0	group	8	0
0	d3d	ResourceBarrier	0
0	group	33	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	40	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	33	0
0	d3d	ResourceBarrier	0
0	group	8	0
0	d3d	ResourceBarrier	0
0	group	6	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	4	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	group	1	0
0	d3d	ResourceBarrier	0
0	frame_launches	156	17
1	d3d	SetDescriptorHeaps	0
1	d3d	SetDescriptorHeaps	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	4	0
1	d3d	ResourceBarrier	0
1	group	4	0
1	d3d	ResourceBarrier	0
1	group	6	0
1	d3d	ResourceBarrier	0
1	group	8	0
1	d3d	ResourceBarrier	0
1	group	33	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	40	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	33	0
1	d3d	ResourceBarrier	0
1	group	8	0
1	d3d	ResourceBarrier	0
1	group	6	0
1	d3d	ResourceBarrier	0
1	group	4	0
1	d3d	ResourceBarrier	0
1	group	4	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	group	1	0
1	d3d	ResourceBarrier	0
1	frame_launches	156	17
2	d3d	SetDescriptorHeaps	0
2	d3d	SetDescriptorHeaps	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	4	0
2	d3d	ResourceBarrier	0
2	group	4	0
2	d3d	ResourceBarrier	0
2	group	6	0
2	d3d	ResourceBarrier	0
2	group	8	0
2	d3d	ResourceBarrier	0
2	group	33	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	40	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	33	0
2	d3d	ResourceBarrier	0
2	group	8	0
2	d3d	ResourceBarrier	0
2	group	6	0
2	d3d	ResourceBarrier	0
2	group	4	0
2	d3d	ResourceBarrier	0
2	group	4	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	group	1	0
2	d3d	ResourceBarrier	0
2	frame_launches	156	17
